群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,TSUTAYA渋川,屋外軒下スペース,渋川市渋川2063-22,長机1～2台分程,屋外,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,
,TSUTAYA箱田,店内スペース,前橋市箱田町416-1,長机1～2台分,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,
,TSUTAYA大泉,店内スペース,邑楽郡大泉町住吉57-3,長机1～2台分,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,
,TSUTAYA前橋荒牧,店内スペース,前橋市荒牧町1丁目23番地4,長机1～2台分,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,
,TSUTAYABOOKSTOREアクエル前橋,店内スペース,前橋市表町2丁目30番8号アクエル前橋1F,長机1～2台分,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,要確認,要確認,要確認,
,UNICUS高崎,屋外スペース,高崎市飯塚町1150-5,長机1～2台分程,屋外,グラスト,"20,000","30,000",要確認,要確認,要確認,有,
,WonderGOO富岡,店内入口入って左側,富岡市七日市1712-1,長机1台分程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,要確認,要確認,要確認,屋外でキャッチ、屋内で契約行為、備品は長机1台のみ貸出可能
,アカマル,1階カードショップ横,高崎市中尾町44-1,長机3台分程,屋内（風除室含む）,グラスト,"20,000","25,000",要確認,要確認,要確認,要確認,電源有り（※延長コードは持ち込みでお願いします）
,アクロスプラザ笠懸,屋外駐車場スペース,みどり市笠懸町阿佐美1288番1他,長机1～2台分程,屋外,場所取る,"20,000","25,000",要確認,要確認,要確認,無,
,アピタ高崎①,1階フードコート前(メイン入口付近),高崎市矢中町字渕ノ内668-1,長机1～2台分程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,要確認,要確認,要確認,
,アピタ高崎②,1階正面入り口エスカレーター横和真前,高崎市矢中町字渕ノ内668-1,長机1～2台分程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,要確認,要確認,要確認,
,ガーデン前橋①,1階 センターコート(エスカレーター下),前橋市小屋原町472-1,長机2～3台分程,屋内（風除室含む）,グラスト,"35,000","45,000",要確認,要確認,要確認,要確認,スーパー側でキャッチをする場合は別途賃料追加(1万/日)
,ガーデン前橋②,2階特設ステージ前,前橋市小屋原町472-1,都度確認,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,要確認,要確認,要確認,スーパー側でキャッチをする場合は別途賃料追加(1万/日)
,カインズ前橋青柳,駐車場,前橋市青柳町135,長机1～2台分程,屋外,場所取る,"23,000","25,000",実施不可,,,,通信催事不可
,カインズ吾妻,店頭(屋外),吾妻郡東吾妻町大字大字原町303-1,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ笠懸,店内(SC後方),みどり市笠懸町阿左美1472-1,1.5m×0.9m,屋内（風除室含む）,場所取る,"23,000","25,000",要確認,無,無,有,
,カインズ玉村,駐車場左側(正面入口),佐波郡玉村町大字上之手2054,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ箕郷,駐車場,高崎市箕郷町下芝万行743-1,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ赤堀①,風除室右側,伊勢崎市市場町2-372,長机1～2台分程,屋内（風除室含む）,場所取る,"23,000","25,000",要確認,無,無,有,
,カインズ赤堀②,駐車場左側(正面入口),伊勢崎市市場町2-372,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ桐生梅田,駐車場,桐生市梅田町1丁目384-1,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ佐波東,駐車場,伊勢崎市西小保方町156-2,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ安中,サービスカウンター横,安中市中宿字石合808-1,長机1台分程,屋内（風除室含む）,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ邑楽,店頭(屋外),邑楽郡邑楽町大字中野3888-1,長机1～2台分程,屋外,場所取る,"25,000","25,000",要確認,無,無,有,
,カインズ大胡,店頭(屋外)右側,前橋市樋越町687,長机1～2台分程,屋外,グラスト,"28,000","30,000",要確認,要確認,要確認,要確認,
,カインズ渋川鯉沢,風除室左側,渋川市白井2143,長机1～2台分程,屋内（風除室含む）,場所取る,"23,000","25,000",要確認,無,無,有,
