群馬エリア,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項
,ベイシア安中,食品側店内入り口自動ドアガラス面,安中市中宿2130,約3坪,屋内（風除室含む）,グラスト,"30,000","30,000",実施不可,,,,通信催事不可
,前橋リリカ①,1F フードコート催事場,前橋市国領町2-14-1,10m×7m程,屋内（風除室含む）,場所取る,"38,000","38,000",要確認,有,有,有,椅子のみ貸し出しあり
,前橋リリカ②,スーパーマーケット前,前橋市国領町2-14-1,約10坪,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,有,有,有,椅子のみ貸し出しあり
,前橋リリカ③,2階スペース,前橋市国領町2-14-1,-,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,有,有,有,椅子のみ貸し出しあり
,ミスターマックス倉賀野,店内イベントスペース,高崎市倉賀野町4691番地1号,約3坪,屋内（風除室含む）,グラスト,"25,800","41,500",要確認,無,無,要確認,
,群馬レジャーランド伊勢崎,屋内or屋外,伊勢崎市連取町3066-1,都度相談,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,要確認,要確認,要確認,都度相談
,群馬レジャーランド高崎駅東口,2Fキッズコーナーのカウンター前,高崎市江木町333-1,長机2台分程,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,要確認,要確認,要確認,
,群馬レジャーランド藤岡,屋内or屋外,藤岡市中2002-1,都度相談,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,要確認,要確認,要確認,都度相談
,群馬レジャーランド太田,屋内or屋外,太田市西矢島町162-2,都度相談,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,要確認,要確認,要確認,都度相談
,群馬レジャーランド渋川,屋内or屋外,渋川市八木原1364,都度相談,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,要確認,要確認,要確認,都度相談
,道の駅ららん藤岡①,1Fイベント広場,藤岡市中1131-8,長机3～4台分程,屋内（風除室含む）,グラスト,"28,000","32,500",要確認,要確認,要確認,要確認,
,道の駅ららん藤岡②,2Fギャラリーラウンジ,藤岡市中1131-8,長机1～2台分程,屋内（風除室含む）,グラスト,"13,600","14,500",要確認,要確認,要確認,要確認,
,道の駅ららん藤岡③,多目的スペース,藤岡市中1131-8,長机3～4台分程,屋内（風除室含む）,グラスト,"18,000","20,000",要確認,要確認,要確認,要確認,
,高崎オーパ①,屋外イベントスペース,高崎市八島町46-1,約59㎡,屋外,楽市,"110,000","220,000",要確認,無,無,有,
,高崎オーパ②,2F 正面入口横スペース,高崎市八島町46-1,約28㎡,屋内（風除室含む）,楽市,要確認,要確認,要確認,無,無,有,
,高崎オーパ③,2F 吹き抜けエスカ横スペース,高崎市八島町46-1,約15㎡,屋内（風除室含む）,楽市,"110,000","220,000",要確認,無,無,有,
,高崎オーパ④,3F 上りエスカレーター横,高崎市八島町46-1,約24㎡,屋内（風除室含む）,楽市,"40,000","60,000",要確認,無,無,有,
,高崎オーパ⑤,1F スターバックス コーヒー横入口,高崎市八島町46-1,-,屋外,楽市,"40,000","60,000",要確認,無,無,無,
,サンモール昭和,風除室,利根郡昭和村糸井398-1,-,屋内（風除室含む）,楽市,"15,000","15,000",要確認,無,無,無,
,オリンピック太田店,1階正面出入口脇店頭,太田市浜町43-11,150cmX200cm,屋外,楽市,"23,000","28,000",要確認,有,有,有,
,ベイシアFoods Park高崎倉賀野店,都度確認,高崎市倉賀野町3100-5,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシアFoods Park太田丸山店,都度確認,太田市丸山町1260-1,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,大間々ショッピングセンターさくらもーる①,サーティーワン裏,みどり市大間々町大間々40,長机3～4本分,屋内（風除室含む）,楽市,"20,000","20,000",要確認,有,有,有,
,大間々ショッピングセンターさくらもーる②,南側入口スペース（テーブル2～３台分）,みどり市大間々町大間々40,長机2～3本分,屋内（風除室含む）,楽市,"25,000","25,000",要確認,有,有,有,
,大間々ショッピングセンターさくらもーる③,1階センターコート,みどり市大間々町大間々40,長机5本分,屋内（風除室含む）,楽市,"30,000","30,000",要確認,有,有,有,
,サンモール月夜野,店内スペース,利根郡みなかみ町月夜野４０３,長机1本分,屋内（風除室含む）,楽市,"13,000","13,000",要確認,無,無,有,
,ベイシアフードセンター前橋吉岡店,フードコート前壁面,北群馬郡吉岡町大久保821,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシア月夜野店,都度確認,利根郡みなかみ町下牧482,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシア前橋小島田店,都度確認,前橋市小島田町163-1,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシアeverywear前橋おおご店,都度確認,前橋市樋越町828,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシア前橋おおごモール店,都度確認,前橋市堀越町377,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシア吾妻店,都度確認,吾妻郡東吾妻町原町5081,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシアファッションセンター沼田モール店,都度確認,沼田市久屋原町 字吉野415,-,屋内（風除室含む）,楽市,"25,000","30,000",実施不可,,,,閉業
,ベイシア富岡店,都度確認,富岡市黒川650,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシアフードセンター富岡甘楽店,都度確認,甘楽郡甘楽町福島900,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシアファッションセンターあかぼりモール店,都度確認,伊勢崎市市場町1-1542,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,ベイシア安中店,食品側店内入り口自動ドアガラス面,安中市中宿2130,-,屋内（風除室含む）,楽市,"25,000","30,000",要確認,無,無,無,
,サンモール鍛冶町,風除室,沼田市鍛冶町３９６８−４,-,屋内（風除室含む）,楽市,"15,000","15,000",要確認,無,無,有,
,サンモール桜町,店内入口付近,沼田市桜町１９６６−２,-,屋内（風除室含む）,楽市,"15,000","15,000",要確認,無,無,有,
,京ヶ島天然温泉湯都里,都度確認,高崎市島野町890-3,-,屋内（風除室含む）,楽市,"25,000","25,000",要確認,要確認,要確認,要確認,
,ユナイテッドシネマ前橋,ロビースペース奥,前橋市文京町2-1-1 けやきウォーク前橋 2F,-,屋内（風除室含む）,楽市,"30,000","50,000",要確認,有,有,有,
,スーパービバホーム高崎,店頭軒下,高崎市大八木町622番1,長机1本分,屋外,楽市,"33,000","33,000",要確認,無,無,有,
,アゼリアモール舘林,2階西松屋付近,館林市楠町3648-1,45坪,屋内（風除室含む）,楽市,"40,000","60,000",要確認,有,有,有,
,109シネマズ高崎,催事スペース,高崎市下和田町５丁目３−８ 2階,-,屋内（風除室含む）,楽市,"60,000","80,000",実施不可,,,,閉業
,イオンモール,イオンモール太田　2階ライトオン前,太田市石原町81,要確認,屋内（風除室含む）,ダイエースペース,"80,000","120,000",要確認,,,有,
,イオンモール,イオンモール高崎　２Ｆ北エスカレーター前,高崎市棟高町1400番地,要確認,屋内（風除室含む）,ダイエースペース,"80,000","150,000",要確認,,,有,
,イオンスタイル,イオンスタイル高崎　コージーコーナー横,高崎市棟高町1400番地,要確認,屋内（風除室含む）,ダイエースペース,"31,250","50,000",要確認,,,有,
,イオンスタイル,イオンスタイル高崎　エスカレータ下 柱前　,高崎市棟高町1400番地,要確認,屋内（風除室含む）,ダイエースペース,"31,250","50,000",要確認,,,要確認,
,イオンスタイル,イオンスタイル高崎　下りエスカレータ横,高崎市棟高町1400番地,要確認,屋内（風除室含む）,ダイエースペース,"31,250","50,000",要確認,,,要確認,
,イオンスタイル,イオンスタイル高崎駅前　１Ｆエスカレータ上り口,高崎市棟高町1400番地,要確認,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,要確認,
,イオンスタイル,イオンスタイル高崎駅前　１Ｆエスカレータ横,高崎市棟高町1400番地,要確認,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,,
,けやきウォーク前橋①,1Fけやきコート,群馬県前橋市文京町2-1-1,357㎡,屋内（風除室含む）,自由市場,"100,000","200,000",要確認,,,,
,けやきウォーク前橋②,2F吹き抜け（ナムコ前）,群馬県前橋市文京町2-1-1,28.8㎡,屋内（風除室含む）,自由市場,"40,000","90,000",要確認,,,,
