新潟,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオン,イオン三条①　別館1F催事スペース,三条市西裏館2-12-20,長机3台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
,イオン,イオン三条②　本館1F催事スペース,三条市西裏館2-12-20,長机1～2台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,イオン,イオン三条③　別館1Fヤマトヤ跡地,三条市西裏館2-12-20,長机3台分程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,イオン,イオン小千谷①　1階北口付近,小千谷市平沢新田字荒田339,長机L字型2台,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,,,,,,,,,,,
,イオン,イオン小千谷②　1階南口付近,小千谷市平沢新田字荒田339,長机1台分程,屋内（風除室含む）,グラスト,"30,000","40,000",要確認,,,,,,,,,,,
,イオン,イオン小千谷③　パン屋横,小千谷市平沢新田字荒田339,長机2本程度,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,
,イオン,イオン村上東①　カート脇スペース,村上市仲間町200,3.6m×1m,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,イオン,イオン村上東②　ATM付近階段前スペース,村上市仲間町200,3.6m×1m,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,イオン,イオン下門前,上越市下門前1871,長机1台分程,屋内（風除室含む）,ダイエースペース,"15,000","15,000",要確認,,,,,,,,,,,
,イオン,イオン上越寺,上越市寺158-１,長机1台分程,屋内（風除室含む）,グラスト,"25,000","25,000",要確認,,,,,,,,,,,
