長野,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオン,イオン中野①　1Fスペース,中野市一本木252-1,長机2台程,屋内（風除室含む）,ダイエースペース,"25,000","30,000",要確認,,,,,,,,,,,
,イオン,イオン中野②　2Fスペース,中野市一本木252-1,長机2台程,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,,,,,,,,,,,
,イオン,イオン豊科,安曇野市豊科4272-10,約4坪,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,,,,,,,,,
,イオン,イオン箕輪,上伊那郡箕輪町中箕輪9025,長机2台程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,
,TSUTAYA,蔦屋書店中野①　店内,中野市大字吉田550,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店中野②　風除室,中野市大字吉田550,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長野徳間①　店内,長野市徳間3204,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店長野徳間②　風除室,長野市徳間3204,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店千曲屋代①　店内,千曲市大字杭瀬下5-1,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店千曲屋代②　風除室,千曲市大字杭瀬下5-1,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店大町①　店内,大町市常盤5868,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店大町②　風除室,大町市常盤5868,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店上田しおだ野①　店内,上田市大字神畑字浦田105,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店上田しおだ野②　風除室,上田市大字神畑字浦田105,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店佐久野沢①　店内,佐久市野沢247,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店佐久野沢②　風除室,佐久市野沢247,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店豊科①　店内,安曇野市豊科4946,長机1～2台程,屋内（風除室含む）,グラスト,"50,000","50,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店豊科②　風除室,安曇野市豊科4946,長机1～2台程,屋内（風除室含む）,,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,PARCO,松本PARCO①　１Fイベントスペース,松本市中央1-10-30,10坪,屋内（風除室含む）,グラスト,"70,000","130,000",要確認,,,,,,,,,,,
,PARCO,松本PARCO②　1Fプレシャス前,松本市中央1-10-30,3坪,屋内（風除室含む）,,"40,000","72,000",要確認,,,,,,,,,,,
,フレスポ,フレスポ大町,大町市大町3500-7,29.04坪,屋内（風除室含む）,グラスト,"25,000","28,000",要確認,,,,,,,,,,,
,フレスポ,フレスポまるこ,上田市中丸子１７４５,45坪,屋内（風除室含む）,グラスト,"25,000","28,000",要確認,,,,電源有無確認,,,,,,,
,コメリ,コメリハード&グリーン上田,上田市上田１２１２－１,1.8m×1.8m～,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,契約行為不可,,,,,,,
,コメリ,コメリハード&グリーン立科,北佐久郡立科町大字芦田１１７３番地１,1.8m×1.8m～,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,契約行為不可,,,,,,,
