東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,7Days,セブンデイズ人形町W4,中央区日本橋人形町2-2-2（左）,15坪,屋内（風除室含む）,グラスト,"55,100","55,100",要確認,,,,最低3週間以上開催,,,,,,,,
,7Days,セブンデイズ人形町W6,中央区日本橋人形町2-2-2（右）,8坪,屋内（風除室含む）,グラスト,"42,400","42,400",要確認,,,,最低5週間以上開催,,,,,,,,
,7Days,セブンデイズ武蔵小山パルム2,品川区荏原3-7-3,9坪,屋内（風除室含む）,グラスト,"46,400","46,400",要確認,,,,1日単位で貸出可,,,,,,,,
,7Days,セブンデイズ武蔵小山パルムW3,品川区小山3-25-1,15坪,屋内（風除室含む）,グラスト,"65,100","65,100",要確認,,,,最低2週間以上開催,,,,,,,,
,ABAB上野,ABAB上野,台東区上野４丁目8-4,6坪,屋内（風除室含む）,グラスト,"28,000",―,要確認,,,,土日祝不可,,,,,,,,
,Ario,アリオ亀有①　1FサニーコートⅠ,葛飾区亀有3丁目49番3号,40坪,屋内（風除室含む）,グラスト,"180,000","360,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有②　1FサニーコートⅡ,葛飾区亀有3丁目49番3号,3.7坪,屋内（風除室含む）,グラスト,"96,000",―,要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有③　1FサニーコートⅢ,葛飾区亀有3丁目49番3号,7.5坪,屋内（風除室含む）,グラスト,"120,000","240,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有④　1FサニーコートⅣ,葛飾区亀有3丁目49番3号,3.5坪,屋内（風除室含む）,グラスト,"96,000","180,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑤　屋外イベント広場,葛飾区亀有3丁目49番3号,200坪,屋外,グラスト,"156,000","300,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑥　2Fウインドコードブリッジ,葛飾区亀有3丁目49番3号,9坪,屋内（風除室含む）,グラスト,"96,000","180,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑦　1Fアリオイベント広場側入口（左側）,葛飾区亀有3丁目49番3号,10坪,屋内（風除室含む）,グラスト,"40,000","72,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑧　1Fアリオイベント広場側入口（右側）,葛飾区亀有3丁目49番3号,10坪,屋内（風除室含む）,グラスト,"40,000","72,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑨　1F香取神社側入口（右）,葛飾区亀有3丁目49番3号,5坪,屋内（風除室含む）,グラスト,"72,000","144,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑩　1F香取神社側入口（左）,葛飾区亀有3丁目49番3号,5坪,屋内（風除室含む）,グラスト,"72,000","144,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑪　1Fウインドコート,葛飾区亀有3丁目49番3号,57.5㎡程度,屋内（風除室含む）,場所とる,"128,000","248,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑫　1FコンコースA,葛飾区亀有3丁目49番3号,11.5㎡程度,屋内（風除室含む）,場所とる,"108,000","188,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑬　1F屋外イベント広場側入口A,葛飾区亀有3丁目49番3号,33.4㎡程度,屋外,場所とる,"68,000","128,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑭　1F屋内広場入口,葛飾区亀有3丁目49番3号,25㎡程度,屋内（風除室含む）,場所とる,"68,000","108,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑮　2Fサニーコート,葛飾区亀有3丁目49番3号,12㎡程度,屋内（風除室含む）,場所とる,"78,000","148,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑯　3FサニーコートA,葛飾区亀有3丁目49番3号,1.5m×7m程度,屋内（風除室含む）,場所とる,"68,000","128,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑰　3FサニーコートB,葛飾区亀有3丁目49番3号,1.6m×6.8m程度,屋内（風除室含む）,場所とる,"68,000","128,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ亀有⑱　1F屋外イベント広場側入口B,葛飾区亀有3丁目49番3号,33.4㎡程度,屋外,場所とる,"68,000","128,000",要確認,,,,ドコモＮＧ,,,,,,,,
,Ario,アリオ北砂①　1Fアクアコート下りエスカレーター前,江東区北砂2-17-1,16坪,屋内（風除室含む）,グラスト,"70,000","130,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂②　1Fアクアコート上りエスカレーター前,江東区北砂2-17-1,13坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂③　2Fアクアコートレストスペース,江東区北砂2-17-1,9坪,屋内（風除室含む）,場所とる,"50,000","100,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂④　3Fアクアコートレストスペース,江東区北砂2-17-1,9坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑤　1F明治通り側入口内イベントスペース,江東区北砂2-17-1,4坪,屋内（風除室含む）,場所とる,"80,000","160,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑥　2Fブリッジ(南側),江東区北砂2-17-1,4坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑦　3Fブリッジ(南側),江東区北砂2-17-1,4坪,屋内（風除室含む）,場所とる,"50,000","100,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
,Ario,アリオ北砂⑧　1Fムラサキスポーツ前コンコース,江東区北砂2-17-1,3坪,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,"SB,YM,auはNG",,,,,,,,
