東京,,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真,
,コープみらい,コープ東村山秋津町,東村山市秋津町2-18-2,長机1~2台分,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,コープみらい,コープ国分寺,国分寺市日吉町3-22-1,長机1~2台分,屋外,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,コープみらい,コープ弁天通り,国分寺市西町4-26-2,長机1~2台分,屋外,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,コープみらい,コープ国分寺内藤,国分寺市内藤1-22-12,長机1~2台分,屋外,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,コープみらい,ミニコープ国立西,国立市西2-11-39,長机1~2台分,屋外,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,コープみらい,コープ上北台,東大和市立野2-3-5,長机1~2台分,屋外,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,コープみらい,コープ貝取,多摩市貝取3-8,長机1~2台分,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,コープみらい,ミニコープ平尾,稲城市平尾1-35-14,長机1~2台分,屋外,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,コープみらい,コープひばりが丘,西東京市谷戸町2-1-80,長机1~2台分,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,コープみらい,コープ東伏見,西東京市東伏見3-4-1,長机1~2台分,屋外,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,極楽湯,極楽湯多摩センター①　玄関横,多摩市落合１丁目３０−１,長机１～２,屋内（風除室含む）,場所とる,"35,000","35,000",要確認,,,,最低2日以上開催,,,,,,,,
,極楽湯,極楽湯多摩センター②　整体前,多摩市落合１丁目３０−１,長机１～２,屋内（風除室含む）,場所とる,"35,000","35,000",要確認,,,,最低2日以上開催,,,,,,,,
,極楽湯,"極楽湯　京王高尾温泉",八王子市高尾町2229番7,長机1.5,屋内（風除室含む）,場所とる,"35,000","35,000",要確認,,,,,,,,,,,,
,ティップ,ティップ．クロスTOKYO渋谷,渋谷区宇田川町16-4,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ティップ,ティップネス吉祥寺,武蔵野市吉祥寺南町2-2-5,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ティップ,ティップネス氷川台,練馬区桜台3-34-2,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ティップ,ティップネス練馬,練馬区練馬1-5-16,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ティップ,ティップネス瑞江,江戸川区瑞江4-44-20,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ティップ,ティップネス東新宿,新宿区新宿6-27-30,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,ティップ,ティップネス王子,北区王子1-10-17,机1台程度,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,,
,RAKU　SPA　1010,RAKU　SPA　1010　神田,千代田区神田淡路町2丁目9-9,長机1.5,屋内（風除室含む）,場所とる,"35,000","35,000",,,,,,,,,,,,,
,ココスクエア,ココスクエア①　1階空きスペース,調布市国領町3丁目1-1-38,約10㎡,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,通信系ＮＧ,,,,,,,,
,ココスクエア,ココスクエア②　2階空きスペース,調布市国領町3丁目1-1-38,約10㎡,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,店舗誘引の催事のみ受入可能,,,,,,,,
,ココネリ,ココネリ①　1FESホール,練馬区練馬1-17-1,長机1台分程,屋内（風除室含む）,グラスト,"28,000","46,000",要確認,,,,,,,,,,,,
,ココネリ,ココネリ②　2FESホールユニクロ前,練馬区練馬1-17-1,長机2台分程,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,,
,ココネリ,ココネリ③　2Fウエストサイドステージ,練馬区練馬1-17-1,長机2台分程,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,,
,コピオ,コピオ長房,八王子市長房町340－12,長机2台分,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,,,,,,,,,,,,
,コピオ,コピオ楢原,八王子市楢原町1818-15,3.6ｍ×1.8ｍ以上,屋外,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,コピオ,コピオ西八王子駅前,八王子市散田町3-17-1,3.6ｍ×1.8ｍ程度,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,,,,通信催事受入不可、広さにより賃料都度相談可能,,,,,,,,
,コピオ,コピオあきる野,あきる野市秋留2-3-2,8ｍ×5ｍ,屋内（風除室含む）,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,コピオ,コピオ羽村,羽村市神明台2-3-13,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,コピオ,コピオ高倉,八王子市高倉町66-16,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,コピス吉祥寺,コピス吉祥寺①　吉祥寺デッキ,武蔵野市吉祥寺本町1-11-5,約８m×６m,屋内（風除室含む）,グラスト,"82,000","154,000",要確認,,,,9～17時(以降は別料金),,,,,,,,
,コピス吉祥寺,コピス吉祥寺②　A3階段下,武蔵野市吉祥寺本町1-11-5,長机1～2台分,屋内（風除室含む）,グラスト,"16,000","22,000",要確認,,,,9～17時(以降は別料金),,,,,,,,
,コメリ,コメリハード＆グリーンあきる野伊奈,あきる野市伊奈４７９－１,1.8m×1.8m～,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン青梅今寺,青梅市今寺４丁目２３－３,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン青梅柚木,青梅市柚木町２丁目３９４番５,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン保谷北町,西東京市北町２－８－２０,1.8m×1.8m～,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン大泉学園,練馬区大泉学園町８－２５－２４,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン日野新町,日野市新町４－２６－９,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン府中日新,府中市日新町３丁目１８－７,1.8m×1.8m～,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン町田図師,町田市図師町１７５２番地,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン武蔵村山中央,武蔵村山市中央２丁目１４８－２,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,コメリ,コメリハード＆グリーン武蔵村山中原,武蔵村山市中原１－９－１０,1.8m×1.8m～,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,契約行為不可,,,,,,,,
,サンシャインシティ,サンシャインシティ,豊島区東池袋三丁目1番,約69.5坪,屋内（風除室含む）,グラスト,"720,000","1,200,000",要確認,,,,別途音響12万、照明12万、告知1万が発生する可能性有り,,,,,,,,
,サンシャインシティアルタ,池袋サンシャインシティアルタ①　イベントスペースC(B1F マクドナルド前),豊島区東池袋３丁目１−３ サンシャインシティ ワールドインポートマートビル B1・1F,4.8㎡,屋内（風除室含む）,グラスト,"60,000","120,000",要確認,,,,,,,,,,,,
,サンシャインシティアルタ,池袋サンシャインシティアルタ②　イベントスペースE(1F 水族館行きエレベーター前),豊島区東池袋３丁目１−３ サンシャインシティ ワールドインポートマートビル B1・1F,7㎡,屋内（風除室含む）,グラスト,"25,000","40,000",要確認,,,,,,,,,,,,
,サンスクエア,サンスクエア①　A区画(屋外),北区王子1丁目4-1,18㎡,屋外,場所とる,"22,000","32,500",要確認,,,,,,,,,,,,
,サンスクエア,サンスクエア②　B区画(屋外),北区王子1丁目4-1,18㎡,屋外,場所とる,"25,000","33,000",要確認,,,,,,,,,,,,
,サンスクエア,サンスクエア③　C区画(屋外),北区王子1丁目4-1,8㎡,屋外,グラスト,"22,000","27,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ昭島①　1階エントランス横,昭島市田中町3-8-5,3m×1.6m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ昭島②　1階エスカレーター横,昭島市田中町3-8-5,3m×2m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠大谷田,足立区大谷田4-9-20,3.6m×1m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠江東猿江①　1階EV横,江東区猿江2-16-3,2.8m×1.5m,屋内（風除室含む）,グラスト,"60,000","106,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠江東猿江②　2階EVホール,江東区猿江2-16-3,2m×2m,屋内（風除室含む）,場所とる,"38,000","58,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ平井①　2階FC入口,江戸川区平井6-1-38,2.7m×1.8m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ平井②　3階エレベーターホール,江戸川区平井6-1-38,2.3m×1.8m,屋内（風除室含む）,場所とる,"45,000","85,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ足立小台,足立区小台1-17-1,3m×2m,屋内（風除室含む）,場所とる,"38,000","38,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ葛西①　1FイベントスペースA,江戸川区東葛西9-3-6,4m×2m,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ葛西②　1FイベントスペースB,江戸川区東葛西9-3-6,2m×1.5m,屋内（風除室含む）,場所とる,"58,000","58,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ葛西③　2FイベントスペースA,江戸川区東葛西9-3-6,5m×2m,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ葛西④　2FイベントスペースB,江戸川区東葛西9-3-6,4m×2.5m,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ葛西⑤　2FイベントスペースC,江戸川区東葛西9-3-6,2.5m×2m,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ葛西⑥　2FイベントスペースD,江戸川区東葛西9-3-6,要確認,屋内（風除室含む）,場所とる,"108,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ小平①　1階入口(フードコート手前),東久留米市前沢5-33-17,3m×1m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ小平②　1階下りESC前,東久留米市前沢5-33-17,2.6m×1.2m,屋内（風除室含む）,グラスト,"40,000","60,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ中野本店①　3階EVホール,中野区南台5-24-13,2.7m×1.8m,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ中野本店②　4階EVホール,中野区南台5-24-13,2.7m×1.8m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠府中,府中市日鋼町1-26,7m×1.3m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠大田千鳥,大田区千鳥2-33-1,3m×1m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ北赤羽,北区浮間5-3-24,3.6m×1.5m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,"島忠ホームズ仙川①　""1Fイベントスペース""",調布市若葉町2-1-7,幅７ｍＸ奥行き２ｍ,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,"島忠ホームズ仙川②　""２ＦイベントスペースＡ""",調布市若葉町2-1-7,幅５ｍＸ奥行き１．５ｍ,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ仙川③　2階イベントスペース　C,調布市若葉町2-1-7,幅６ｍＸ奥行０．６ｍ,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ仙川④　2階イベントスペース　D,調布市若葉町2-1-7,幅５ｍＸ奥行１．５ｍ,屋内（風除室含む）,場所とる,"58,000","108,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ町田三輪①　1階エントランス横,町田市三輪町281-1,2.8m×1.5m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ町田三輪②　1階エスカレーターホール,町田市三輪町281-1,4m×2m,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ町田三輪③　2階エスカレーターホール,町田市三輪町281-1,7.5㎡程度,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,島忠ホームズ,島忠ホームズ東村山　2階催事スペース,東村山市久米川町1丁目36,要確認,屋内（風除室含む）,場所とる,"48,000","88,000",要確認,,,,,,,,,,,,
,シモキタエキウエ,シモキタエキウエ,世田谷区北沢2-24-2,約34.54㎡,屋内（風除室含む）,グラスト,"180,000","240,000",要確認,,,,,,,,,,,,
,ジョイフル本田,ジョイフル本田瑞穂①　2Fフードコートジョイフル2前,西多摩郡瑞穂町殿ヶ谷442,5m×3m程,屋内（風除室含む）,グラスト,"45,000","120,000",要確認,,,,8/13～16、12/28～31は土日祝価格,,,,,,,,
,ジョイフル本田,ジョイフル本田瑞穂②　3F駐車場入口,西多摩郡瑞穂町殿ヶ谷442,8m×8m,屋内（風除室含む）,グラスト,"45,000","120,000",要確認,,,,8/13～16、12/28～31は土日祝価格,,,,,,,,
,ジョイフル本田,ジョイフル本田瑞穂③　YM横(au前),西多摩郡瑞穂町殿ヶ谷442,5m×3m程,屋内（風除室含む）,グラスト,"45,000","120,000",要確認,,,,8/13～16、12/28～31は土日祝価格,,,,,,,,
,スーパーアルプス,スーパーアルプスはざま,八王子市椚田町1208,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス中野,八王子市中野山王1-26-7,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス恩方,八王子市西寺方町69-1,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス宇津木台,八王子市久保山町1-10,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス甲の原,八王子市中野町2689-3,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス台町,八王子市台町3-24-20,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス横川,八王子市横川町540-1,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス北野,八王子市北野町545-3,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプスみなみ野,八王子市七国3-6-1,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス大和田,八王子市大和田町5-7-18,長机2台分程,,グラスト,"60,000","60,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス南平,日野市南平7-10-14,長机2台分程,,グラスト,"50,000","50,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス日野,日野市日野390-4,長机2台分程,,グラスト,"50,000","50,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス豊田南,日野市豊田1-16-1,長机2台分程,,グラスト,"50,000","50,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス多摩境,町田市小山ヶ丘4-5-2,3.6ｍ×1.8ｍ程度,屋外,グラスト,"50,000","50,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーアルプス,スーパーアルプス東村山,東村山市久米川町1-2-5,長机2台分程,,グラスト,"50,000","50,000",要確認,,,,広さにより賃料都度相談可能,,,,,,,,
,スーパーバリュー,スーパーバリュー荒川一丁目,荒川区荒川1-6-1,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー国立,国立市泉3-29-11「フレスポ国立南」内,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー品川八潮,品川区八潮5-5-3 パトリア品川店内,,屋内（風除室含む）,グラスト,"37,000","40,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー志茂,北区志茂1-6-11,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー杉並高井戸,杉並区下高井戸5-12-12,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー世田谷松原,世田谷区松原2-35-15,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー等々力,世田谷区等々力3-8-7,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー西尾久,荒川区西尾久5-24-6,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー練馬大泉,練馬区大泉町5-6-51,,屋内（風除室含む）,グラスト,"27,000","30,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー八王子高尾,八王子市東浅川町546-20,,屋内（風除室含む）,グラスト,"37,000","40,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー府中新町,府中市新町1-73-1,,屋内（風除室含む）,グラスト,"37,000","40,000",要確認,,,,,,,,,,,,
,スーパーバリュー,スーパーバリュー福生,福生市熊川983-1,,屋内（風除室含む）,グラスト,"37,000","40,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS赤坂,千代田区永田町2-13-10プルデンシャルタワー2F,長机2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS勝どき,中央区勝どき1丁目-1-1プラザ勝どきA棟2F,長机2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,フィットネス&スパNASリバーシティ22,中央区佃2-2-9,長机2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS大崎,品川区大崎2-1-3ダイワロイネットホテル（フロント2F）,長机2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS西日暮里,荒川区西日暮里5-20-1,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS町屋,荒川区荒川6-4-9,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS光が丘,練馬区光が丘5-1光が丘IMA　イマミセ5F,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS芦花公園,世田谷区南烏山1-10-22 1・2F,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS西葛西,江戸川区西葛西6-15-24,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS篠崎,江戸川区篠崎町2-6-21,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS吉祥寺,武蔵野市吉祥寺南町1-27-1,長机2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS聖蹟桜ヶ丘,多摩市関戸1-7-5,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS若葉台,稲城市若葉台2-1-1フレスポ若葉台EAST 3F,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS永山,多摩市諏訪2-12,長机2台程,屋内（風除室含む）,グラスト,"35,000","35,000",要確認,,,,,,,,,,,,
,スポーツクラブNAS,スポーツクラブNAS高尾,八王子市東浅川町550-1 イーアス高尾2F,長机2台程,屋内（風除室含む）,グラスト,"45,000","45,000",要確認,,,,,,,,,,,,
,西友,西友調布,調布市小島町1丁目10−1,長机1台分,屋内（風除室含む）,グラスト,"42,000","42,000",要確認,,,,,,,,,,,,
,西友,西友青柳,国立市青柳３丁目8−3,長机1台分,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,西友中河原①　1F階段踊場,府中市住吉町4-11-13,長机1台分,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,西友,西友中河原②　2F階段踊場,府中市住吉町4-11-13,長机1台分,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,,
,西友,西友三鷹牟礼,三鷹市牟礼6-8-12,長机1台分,屋外,グラスト,"40,000","40,000",要確認,,,,,,,,,,,,
,西友,西友小平①　2Fレジ横,小平市美園町1-33-2,10㎡程度,屋内（風除室含む）,場所とる,"25,000","35,000",要確認,,,,,,,,,,,,
,西友,西友小平②　1F屋外入り口横,小平市美園町1-33-2,6㎡程度,屋外,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,西友,西友小平③　2Fエスカレーター横,小平市美園町1-33-2,10㎡程度,屋内（風除室含む）,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,西友,西友小平④　3Fエスカレーター横,小平市美園町1-33-2,10㎡程度,屋内（風除室含む）,場所とる,"25,000","25,000",要確認,,,,,,,,,,,,
,セブンタウン,"セブンタウン小豆沢①　""1階アベニュー(ユニクロ側)
※屋外、屋根あり""",板橋区小豆沢3-9-4～5,4m×5m,屋外,場所とる,"48,000","78,000",要確認,,,,,,,,,,,,
,セブンタウン,"セブンタウン小豆沢②　""1階イベント広場
※屋外、屋根なし""",板橋区小豆沢3-9-4～5,直径12m(円形),屋外,場所とる,"58,000","98,000",要確認,,,,,,,,,,,,
,セブンタウン,"セブンタウン小豆沢③　""1階専門店入口横
※屋外、屋根なし""",板橋区小豆沢3-9-4～5,1.5m×5m,屋外,場所とる,"48,000","78,000",要確認,,,,,,,,,,,,
,セブンタウン,"セブンタウン小豆沢④　""1階アベニュー(サンドラッグ側)
※屋外、屋根あり""",板橋区小豆沢3-9-4～5,4m×5m,屋外,場所とる,"58,000","98,000",要確認,,,,,,,,,,,,
,ダイエー,グルメシティ稲城,稲城市東長沼514-3,長机1台分,屋外,グラスト,"25,000","30,000",要確認,,,,,,,,,,,,
,ダイエー,イオンフードスタイル八王子大和田,八王子市大和田町6-13-3,長机1台分程,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,,,,,,,,,,,,
,ダイエー,グルメシティ高尾,八王子市初沢町1227-4,長机1台分程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー南砂町スナモ,江東区新砂3丁目4番31号,長机1.5台程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー西八王子,八王子市千人町2-1-9,長机1.5台程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー武蔵村山①　センターコート前,武蔵村山市伊奈平3-36-1,2.0m×3.0m（1.8坪）,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー武蔵村山②　食品レジ後方,武蔵村山市伊奈平3-36-1,1.5m×2.0m（0.9坪）,屋内（風除室含む）,ダイエースペース,"15,000","20,000",,,,,,,,,,,,,
,ダイエー,foodium多摩センター,多摩市落合2-33,長机1台分程,屋内（風除室含む）,グラスト,"25,000","30,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー立花団地,墨田区立花1-23-3-101,長机1台分程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,電源有,,,,,,,,
,ダイエー,ダイエー赤羽,北区赤羽2-5-7,長机1台分程,屋外,グラスト,"30,000","40,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー豊島団地,北区豊島5-4-1-108,長机1台分程,屋外,ダイエースペース,"15,000","20,000",要確認,,,,電源有,,,,,,,,
,ダイエー,ダイエー板橋サンゼリゼ,板橋区中台3-27-7,長机1台分程,屋外,ダイエースペース,"15,000","20,000",要確認,,,,事前に打合せ願います,,,,,,,,
,ダイエー,ダイエー千住曙町,足立区千住曙町７,長机1台分程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",要確認,,,,電源あり,,,,,,,,
,ダイエー,ダイエー東大島,江東区大島7-38-30,長机1台分程,屋内（風除室含む）,グラスト,"35,000","40,000",要確認,,,,,,,,,,,,
,ダイエー,ダイエー月島,中央区月島3-4-5-101,長机1台分程,屋外,ダイエースペース,"15,000","20,000",要確認,,,,事前に打合せ願います,,,,,,,,
,ダイエー,イオンフードスタイル八王子,八王子市横山町４−８,長机1台程,屋外,ダイエースペース,"15,000","20,000",要確認,,,,事前に打合せ願います,,,,,,,,
,ダイエー,ダイエー小金井,小金井市本町5-34-14,長机1台分,屋内（風除室含む）,グラスト,"25,000","30,000",要確認,,,,,,,,,,,,
