神奈川,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,DCM,小田原店,神奈川県小田原市飯泉字丹花前501-1,屋外スペース,屋外,,,,要確認,,,,,,,,,,,
,DCM,秦野店,神奈川県秦野市戸川193,店内入口右側,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,南足柄店,神奈川県南足柄市怒田2816-36,店内入口右側,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,厚木店,神奈川県厚木市船子1077,入口付近,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,ひなた山店,神奈川県横浜市泉区和泉町7315-8,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,海老名店,神奈川県海老名市本郷1568-1,入口付近,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,Aコープ,仙石原店,神奈川県足柄下郡箱根町仙石原２３８,店頭軒下,屋外,,,,要確認,,,,,,,,,,,
,コーナン,保土ヶ谷星川店,神奈川県横浜市保土ケ谷区川辺町2-13,エントランス,屋内（風除室含む）,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,イオンスタイル,東神奈川,神奈川県横浜市神奈川区富家町1,銀だこ前,屋内（風除室含む）,ダイエースペース,"25,000","30,000",要確認,,,,,,,,,,,
,Aコープ,金沢店,神奈川県横浜市金沢区泥亀２－５－１－１００,店頭軒下,屋外,,,,要確認,,,,,,,,,,,
,ビーバートザン,富水店,神奈川県小田原市堀之内334,テラス(正面入口側),屋外,場所とる,"30,000","30,000",要確認,,,,,,,,,,,
,三和,相模原中央店,神奈川県相模原市中央区中央1-2-1,入口横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,オリンピック,川崎鹿島田店,神奈川県川崎市幸区下平間290,銘店コーナー前,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,藤沢店,神奈川県藤沢市渡内1-3-12,風除室,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,おりーぶ東戸塚店,神奈川県横浜市戸塚区川上町52-1,風除室,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,平塚店,神奈川県平塚市代官町33-1,食品フロア上りエスカレーター付近,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,洋光台店,神奈川県横浜市磯子区洋光台5-1-9,南側出入口風除室,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,鶴見店,神奈川県横浜市鶴見区鶴見中央2-3-1,入口横階段下スペース,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,今宿店,神奈川県横浜市旭区今宿東町1640,食品フロア,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,港北ニュータウン店,神奈川県横浜市都筑区茅ケ崎中央27-10,エスカレーター横,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,相模大塚店,大和市上草柳112-1,駐車場脇,屋外,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,港北ニュータウン店,神奈川県横浜市都筑区茅ケ崎中央27-10,エスカレーター横,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,オリンピック,港北ニュータウン店,神奈川県横浜市都筑区茅ケ崎中央27-10,エスカレーター横,屋内（風除室含む）,場所とる,"18,000","23,000",要確認,,,,,,,,,,,
,フォレストモール,川崎黒川,神奈川県川崎市麻生区南黒川1番7号,お問い合わせください,,,,,要確認,,,,,,,,,,,
,ビッグパワー,新鮮湘南台市場,神奈川県藤沢市湘南台2-6-3湘南台ウエストプラザ2番地1F,入口横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ビッグ・エー,横浜平戸店,神奈川県横浜市戸塚区平戸5-1-8,店頭スペース,屋外,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,洋光台店,神奈川県横浜市磯子区洋光台3-10-3,駐車場側入口,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
