茨城,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオン,イオン笠間①　１Fエスカレーター前,笠間市赤坂8,長机2台分程,屋内（風除室含む）,ダイエースペース,"15,000","20,000",実施不可,,,,椅子、長机の貸し出しは無料(事前申請必須),,,,,,,
,イオン,イオン笠間②　イートインスペース,笠間市赤坂8,長机2台分程,屋内（風除室含む）,グラスト,"20,000","22,000",実施不可,,,,椅子、長机の貸し出しは無料(事前申請必須),,,,,,,
,イオン,イオン常陸大宮①　1F正面右側,常陸大宮市下村田2387,長机1~2台程,屋内（風除室含む）,グラスト,"24,000","24,000",要確認,,,,,,,,,,,
,イオン,イオン常陸大宮②　1F四六時中前,常陸大宮市下村田2387,長机2台程,屋内（風除室含む）,グラスト,"20,000","20,000",要確認,,,,,,,,,,,
,イオン,イオン常陸大宮③　1F催事場スペース,常陸大宮市下村田2388,約22坪,屋内（風除室含む）,グラスト,"24,000","24,000",要確認,,,,,,,,,,,
,イオン,イオン東海①　1階エレベーター横,那珂郡東海村舟石川駅東4-1-1,1~2坪程,屋内（風除室含む）,ダイエースペース,"20,000","30,000",要確認,,,,,,,,,,,
,イオン,イオン東海②　1Fクリーニング横,那珂郡東海村舟石川駅東4-1-1,1~2坪程,屋内（風除室含む）,グラスト,"30,000","30,000",要確認,,,,,,,,,,,
,プレミアム・アウトレット,あみプレミアム・アウトレット,稲敷郡阿見町よしわら4-1-1,,屋外,グラスト,"360,000","600,000",要確認,,,,,,,,,,,
,TSUTAYA,蔦屋書店龍ケ崎①　店内スペース,龍ケ崎市中里2−1−2,長机1～2台程,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店龍ケ崎②　風除室,龍ケ崎市中里2−1−2,長机1～2台程,屋内（風除室含む）,グラスト,"34,000","34,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店龍ケ崎③　軒下,龍ケ崎市中里2−1−2,長机1～2台程,屋外,グラスト,"31,000","31,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店ひたちなか①　店内スペース,ひたちなか市新光町30-4,長机1～2台程,屋内（風除室含む）,場所とる,"40,000","40,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店ひたちなか②　風除室,ひたちなか市新光町30-4,長机1～2台程,屋内（風除室含む）,グラスト,"46,000","46,000",要確認,,,,備品貸出不可,,,,,,,
,TSUTAYA,蔦屋書店ひたちなか②　軒下,ひたちなか市新光町30-4,長机1～2台程,屋外,グラスト,"41,000","41,000",要確認,,,,備品貸出不可,,,,,,,
,㈱Oaraiクリエイティブマネジメント,大洗シーサイドステーション①　センターコート,東茨城郡大洗町港中央11-2,20m×23m,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,㈱Oaraiクリエイティブマネジメント,大洗シーサイドステーション②　中央通路,東茨城郡大洗町港中央11-2,15m×5m,屋内（風除室含む）,グラスト,"40,000","40,000",要確認,,,,,,,,,,,
,フレスポ,フレスポ赤塚①　カスミ店舗前,水戸市河和田1丁目1番地,3.99坪,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,電源有無確認,,,,,,,
,フレスポ,フレスポ赤塚②　マツキヨ店舗前,水戸市河和田1丁目1番地,3.99坪,屋内（風除室含む）,グラスト,"25,000","35,000",要確認,,,,電源有無確認,,,,,,,
,SEA MARK SQUARE,SEA MARK SQUARE①　1Fレストスペース( フードコート側),日立市東滑川町5丁目地内,約20㎡,屋内（風除室含む）,グラスト,"30,000","50,000",要確認,,,,,,,,,,,
