栃木,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,TSUTAYA,TSUTAYA宇都宮東簗瀬店,栃木県宇都宮市東簗瀬1丁目41-3,,,,,,実施不可,,,,,,,,,,,
,TSUTAYA,TSUTAYAハートランド大田原店,栃木県大田原市若草1-711,,,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA400号西那須野店,栃木県那須塩原市太夫塚6-232-8,,,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA小山ロブレ店,栃木県小山市中央町3丁目7-1ロブレ小山2F,,,,,,実施可能,,,,,,,,,,,
,TSUTAYA,TSUTAYA BOOKSTOREおやまハーヴェストウォーク,栃木県小山市喜沢1475おやまゆうえんハーヴェストウォーク,,,,,,実施可能,,,,,,,,,,,
,,宇都宮西川田本町複合商業施設,栃木県宇都宮市西川田本町3-4-5,屋外スペース,屋外,,,,要確認,,,,,,,,,,,
,ダイユー,スーパーマーケットダイユー那須高原店,栃木県那須郡那須町大字高久乙2865番地1,イートインコーナー前,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,ダイユー,スーパーマーケットダイユー那須高原店,栃木県那須郡那須町大字高久乙2865番地2,出入口横,屋内（風除室含む）,,,,実施可能,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-1,旧喫煙所(個室・清掃済),屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-2,食品レジサッカー台横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-3,カリオン広場横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-4,大催事場,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-5,銘店コーナー前大催事場一画,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-6,ライトオン前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-7,ユニクロ前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー宇都宮店,栃木県宇都宮市陽東6-2-8,HMV前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,VALOYAMA,VALOYAMA,栃木県小山市城山町3丁目3番地22号,エスカレータ横（マツモトキヨシ側）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,ドン・キホーテ,大田原店/入口側買い場前スペース,栃木県大田原市加治屋83-27,11.3㎡,屋内（風除室含む）,自由市場,"21,000","31,000",要確認,,,,,,,,,,,
,ドン・キホーテ,栃木平柳店/屋外イベントスペース1,栃木県栃木市平柳町2-26-26,10㎡,屋外,自由市場,"11,000","16,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,①宇都宮店/屋外商店側出口スペース,栃木県宇都宮市馬場通り2-3-12,2.7㎡,屋外,自由市場,"10,000","10,000",要確認,,,,SoftBank、au系NG,,,,,,,
,MEGAドン・キホーテ,②宇都宮店/1F大通り側屋内出入口スペース,栃木県宇都宮市馬場通り2-3-12,3㎡,屋内（風除室含む）,自由市場,"16,000","26,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,③宇都宮店/屋外商店側出口スペース,栃木県宇都宮市馬場通り2-3-12,2.7㎡,屋外,自由市場,"10,000","10,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,①黒磯店/正面入り口前ギフトスペース,栃木県那須塩原市材木町3-5,2.2㎡,屋内（風除室含む）,自由市場,"16,000","26,000",要確認,,,,,,,,,,,
,MEGAドン・キホーテ,②黒磯店/センタープラザ前,栃木県那須塩原市材木町3-5,4.8㎡,屋内（風除室含む）,自由市場,"16,000","26,000",要確認,,,,,,,,,,,
,アクロスプラザ,アクロスプラザ宝木,栃木県宇都宮市細谷町2601-6,とりせん入口付近,屋外,,,,要確認,,,,,,,,,,,
,アクロスプラザ,アクロスプラザ鹿沼,栃木県鹿沼市上殿町字百目鬼903,,,,,,要確認,,,,,,,,,,,
,アクロスプラザ,アクロスプラザ宇都宮インターパーク,栃木県宇都宮市インターパーク4-2-8-9,,,,,,要確認,,,,,,,,,,,
,,那須ガーデンアウトレット,栃木県那須塩原市塩野崎184-7,屋外スペース,屋外,,,,実施可能,,,,,,,,,,,
