埼玉,,,,,場所とる,"21,000","21,000",,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イトーヨーカドー,イトーヨーカドー三郷⑩　スーパービバホーム側入口外側右側,三郷市ピアラシティ一丁目1番地1,長机2台程度,屋外,場所取る,"20,000","35,000",要確認,無,無,要確認,買取・保険・カルチャー催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー三郷⑪　スーパービバホーム側入口外側左側,三郷市ピアラシティ一丁目1番地1,長机2台程度,屋外,場所取る,"20,000","35,000",要確認,無,無,要確認,買取・保険・カルチャー催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー三郷⑫　スーパービバホーム側入口外側駐車場側,三郷市ピアラシティ一丁目1番地1,長机2～3台程度,屋外,場所取る,"20,000","35,000",要確認,無,無,要確認,買取・保険・カルチャー催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー三郷⑬　1階中央入口外側,三郷市ピアラシティ一丁目1番地1,長机2台程度,屋外,場所取る,"20,000","35,000",要確認,無,無,要確認,買取・保険・カルチャー催事不可,,,,,,,
,イトーヨーカドー,イトーヨーカドー新田①　1階駅側入口横,草加市旭町6丁目15-30,長机2-3台程度,屋内（風除室含む）,場所取る,"25,000","25,000",要確認,,,,【8.15.18.25.28日は土日祝料金】【3月.5月.8月.12月は賃料増額】,,,,,,,
,イトーヨーカドー,イトーヨーカドー新田②　1階駅側入口正面,草加市旭町6丁目15-30,長机1-2台程度,屋内（風除室含む）,場所取る,"25,000","25,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー新田③　1階駅方面口,草加市旭町6丁目15-30,長机1-2台程度,屋外,場所取る,"25,000","25,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー新田④　1階駐車場方面口,草加市旭町6丁目15-30,要確認,屋外,場所取る,"25,000","45,000",要確認,,,,,,,,,,,
,イトーヨーカドー,イトーヨーカドー新田⑤　1階駅方面口(屋根なし),草加市旭町6丁目15-30,長机1-2台程度,屋外,場所取る,"25,000","25,000",要確認,,,,,,,,,,,
,T－FRONTE,T－FRONTE①　2階共用部通路,戸田市新曽662,長机1台程度,屋内（風除室含む）,場所取る,"25,000","40,000",要確認,,,,,,,,,,,
