山梨,,,,,,,,,,,,,,,,,,,,
,施設名,実施場所名,施設住所,広さ,屋内・屋外,発注先,金額（平日）,金額（土日祝日）,通信催事可否,机貸出,椅子貸出,電源貸出,注意事項,AGでの手配実績,過去実施時代理店、店舗,AGでの過去実績（PIのみ 期間すべて）,過去トラブルなど,場所（Google Map）,その他備考,区画写真
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ふじさんエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,うぐいすエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,さくら北ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,さくら広場,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ほたる南ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ほたる広場,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ふじさんエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,さくら北ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,うぐいすエスカレーター前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,さくら南ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンモール,甲府昭和,山梨県中巨摩郡昭和町飯喰1505-1,ほたる南ブリッジ,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,コメリハード&グリーン,山梨万力店,山梨県山梨市万力９５７,屋外スペース,屋外,,,,要確認,,,,,,,,,,,
,カインズ,富士吉田店,山梨県富士吉田市上吉田東6丁目5番40号,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,カインズ,富士吉田店,山梨県富士吉田市上吉田東6丁目5番40号,駐車場右側※移動車,屋外,,,,要確認,,,,,,,,,,,
,カインズ,FC甲府昭和店,山梨県中巨摩郡昭和町西条 770,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,カインズ,甲西店,山梨県南アルプス市西南湖325,店頭スペース,屋外,,,,要確認,,,,,,,,,,,
,カインズ,甲西店,山梨県南アルプス市西南湖325,風除室,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,正面入口（左）,屋外,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,ロフト横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,レストスペース前,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,エントランスホール（エスカレーター側）,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,正面入口,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,赤ちゃん本舗横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,センターコート横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イトーヨーカドー,甲府昭和店,山梨県中巨摩郡昭和町西条13-1,正面入口（右),屋外,,,,要確認,,,,,,,,,,,
,DCM,河口湖店,山梨県南都留郡富士河口湖町小立8017-1,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,一宮店,山梨県笛吹市一宮町竹原田1414,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,甲府住吉店,山梨県甲府市中小河原1-13-19,屋内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,甲州店,山梨県甲州市勝沼町山250,屋内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,双葉店,山梨県甲斐市龍地3283,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,南アルプス店,山梨県南アルプス市在家塚565,お問い合わせ下さい,,,,,要確認,,,,,,,,,,,
,DCM,韮崎店,山梨県韮崎市若宮3-9-28,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,須玉店,山梨県北杜市須玉町若神子2300-1,駐車場,屋外,,,,要確認,,,,,,,,,,,
,DCM,上野原店,山梨県上野原市新田1460,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,市川大門店,山梨県西八代郡市川三郷町市川大門2849,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,田富店,山梨県中央市山之神3033-5,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,池田店,山梨県甲府市池田1-3-23,店内スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,DCM,富士川店,山梨県南巨摩郡富士川町青柳町960-1,お問い合わせ下さい,,,,,要確認,,,,,,,,,,,
,TSUTAYA,南アルプスガーデン店,山梨県南アルプス市十五所685-3,お問い合わせください,,,,,要確認,,,,,,,,,,,
,TSUTAYA,甲府昭和店,山梨県甲府市下石田2-17-26,お問い合わせください,,,,,要確認,,,,,,,,,,,
,イオンタウン,山梨中央,山梨県中央市下河東3053-1,セントラルコート,屋外,,,,要確認,,,,,,,,,,,
,イオンタウン,山梨中央,山梨県中央市下河東3053-1,ザ・ビッグ入口付近,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,イオンタウン,山梨中央,山梨県中央市下河東3053-1,ノースコート,屋外,,,,要確認,,,,,,,,,,,
,河口湖ショッピングセンターベル,河口湖ショッピングセンターベル,山梨県南都留郡富士河口湖町船津2986,時計ひろば,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,河口湖ショッピングセンターベル,河口湖ショッピングセンターベル,山梨県南都留郡富士河口湖町船津2986,多目的ホール,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,河口湖ショッピングセンターベル,河口湖ショッピングセンターベル,山梨県南都留郡富士河口湖町船津2986,エスカレータ横,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,スーパーマーケットバロー,国玉店,山梨県甲府市国玉町913番地1,休憩スペース,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,スーパーマーケットバロー,国玉店,山梨県甲府市国玉町913番地1,店頭軒下,屋外,,,,要確認,,,,,,,,,,,
,スーパーマーケットバロー,国玉店,山梨県甲府市国玉町913番地1,店内イートイン区画,屋内（風除室含む）,,,,要確認,,,,,,,,,,,
,スーパーマーケットバロー,甲府昭和店,山梨県中巨摩郡昭和町清水新居194番地1,店頭軒下,屋外,,,,要確認,,,,,,,,,,,
